Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
K59 Other functional intestinal disorders,131640,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,12717,268868,0.158559253817673,-0.0420918508053059,,,icd_first_occurrence-131640-both_sexes--
I26 Pulmonary embolism,131308,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,4756,276829,0.158591628907389,0.0357314269865712,,,icd_first_occurrence-131308-both_sexes--
Mean OD in splenium of corpus callosum on FA skeleton,25396,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.158593104823692,-0.0264620269224872,,,continuous-25396-both_sexes--irnt
Minimum carotid IMT (intima-medial thickness) at 210 degrees ,22676,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,18712,,0.158814332853188,0.000156647284910887,,,continuous-22676-both_sexes--irnt
Mean ICVF in tapetum on FA skeleton (left),25391,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.159828739369316,-0.0394099207233509,,,continuous-25391-both_sexes--irnt
Q08.9 Unspecified vaginal excision of uterus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1993,151355,0.159911494927377,0.069669059390771,,,categorical-41210-both_sexes-Q089-
Mean L3 in sagittal stratum on FA skeleton (right),25326,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.161294642206796,0.0348516460991702,,,continuous-25326-both_sexes--irnt
Weighted-mean MO in tract posterior thalamic radiation (left),25561,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.163096527733063,-0.0440676561372668,,,continuous-25561-both_sexes--irnt
Median T2star in pallidum (left),25032,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.164666471578068,-0.0444366859479827,,,continuous-25032-both_sexes--irnt
Mean FA in superior longitudinal fasciculus on FA skeleton (right),25096,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.165331994099723,-0.0404161589909495,,,continuous-25096-both_sexes--irnt
Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),25665,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.166663794548782,-0.0203356260728445,,,continuous-25665-both_sexes--irnt
N43 Hydrocele and spermatocele,132078,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1267,126971,0.167850243106455,0.0519018982779717,,,icd_first_occurrence-132078-both_sexes--
Volume of grey matter in Crus I Cerebellum (left),25900,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.168072379836042,-0.0414919734851019,,,continuous-25900-both_sexes--irnt
Fluoxetine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3282,278261,0.16811678712204,0.0715125439642562,,,categorical-20003-both_sexes-1140879540-
Mean L2 in cingulum hippocampus on FA skeleton (right),25284,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.16831251025041,0.0280951746797003,,,continuous-25284-both_sexes--irnt
Mean OD in posterior limb of internal capsule on FA skeleton (left),25411,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.168650204230132,-0.0438423907688204,,,continuous-25411-both_sexes--irnt
Mean MD in superior longitudinal fasciculus on FA skeleton (left),25145,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.169212766717271,0.0423086973345142,,,continuous-25145-both_sexes--irnt
Weighted-mean MD in tract anterior thalamic radiation (right),25518,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.170124100463334,0.0111485975768553,,,continuous-25518-both_sexes--irnt
Mean L3 in superior corona radiata on FA skeleton (right),25320,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.170625035004261,0.0398768898834733,,,continuous-25320-both_sexes--irnt
Weighted-mean OD in tract cingulate gyrus part of cingulum (left),25681,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.171297020387142,0.0307101820363234,,,continuous-25681-both_sexes--irnt
"K50 Crohn's disease [regional enteritis]",131626,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1594,279991,0.171619897833061,0.0509344377252515,,,icd_first_occurrence-131626-both_sexes--
H61 Other disorders of external ear,131224,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,17767,263818,0.172397982537562,-0.0329629648974302,,,icd_first_occurrence-131224-both_sexes--
Mean MD in tapetum on FA skeleton (left),25151,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.17298631391143,0.0425430269769251,,,continuous-25151-both_sexes--irnt
Leg fat mass (left),23116,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276675,,0.173779521664908,0.000334681995039351,,,continuous-23116-both_sexes--irnt
Median T2star in hippocampus (right),25035,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.173983342517077,-0.0430755658393498,,,continuous-25035-both_sexes--irnt
Mean MD in medial lemniscus on FA skeleton (right),25112,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.174242554087688,0.0237359816351389,,,continuous-25112-both_sexes--irnt
Insulin product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2690,278853,0.17655084954824,0.0726834976827616,,,categorical-20003-both_sexes-1140883066-
Mean L3 in anterior corona radiata on FA skeleton (left),25319,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.176560008544609,0.0391387580934839,,,continuous-25319-both_sexes--irnt
Creatinine (enzymatic) in urine,30510,continuous,,Biological samples > Assay results > Urine assays,,273582,,0.176632106893774,0.00749829642865167,,,continuous-30510-both_sexes--irnt
Mean FA in anterior limb of internal capsule on FA skeleton (left),25073,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.176790971089827,-0.0132974865219823,,,continuous-25073-both_sexes--irnt
F45 Somatoform disorders,130914,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,1750,279835,0.178063973470374,0.0677506080772386,,,icd_first_occurrence-130914-both_sexes--
Mean OD in pontine crossing tract on FA skeleton,25393,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.178275184926301,0.0407816532744007,,,continuous-25393-both_sexes--irnt
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),25662,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.178602186931496,-0.0202629002421697,,,continuous-25662-both_sexes--irnt
Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left),25291,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.178615331736238,-0.00806250945263041,,,continuous-25291-both_sexes--irnt
Volume of grey matter in VIIb Cerebellum (left),25906,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.179234147779188,-0.00445192926544901,,,continuous-25906-both_sexes--irnt
Co-dydramol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1763,279780,0.179252360595356,0.0710455887196837,,,categorical-20003-both_sexes-1140923350-
Z28.6 Sigmoid colon,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,11236,270350,0.179316800174808,-0.0419244462627991,,,categorical-41210-both_sexes-Z286-
Weighted-mean L3 in tract inferior longitudinal fasciculus (right),25638,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.179625110916948,0.020707319119244,,,continuous-25638-both_sexes--irnt
Mean MD in superior cerebellar peduncle on FA skeleton (right),25116,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.179732672333103,-0.0423360447845368,,,continuous-25116-both_sexes--irnt
Pulse rate,4194,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101696,,0.181621981589984,-0.0110243719351262,,,continuous-4194-both_sexes--irnt
Body mass index (BMI),23104,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276710,,0.181976489660867,-0.00029032596996977,,,continuous-23104-both_sexes--irnt
Mean MD in retrolenticular part of internal capsule on FA skeleton (right),25124,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.182648104810898,0.0225356848817234,,,continuous-25124-both_sexes--irnt
K63.4 Coronary arteriography using two catheters,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4843,276743,0.183307049803652,0.0349475715478463,,,categorical-41200-both_sexes-K634-
Mean ICVF in cerebral peduncle on FA skeleton (right),25358,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.18333881200576,0.0417839387932852,,,continuous-25358-both_sexes--irnt
Mean MD in cingulum hippocampus on FA skeleton (right),25140,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.183363771371402,0.0228061306892114,,,continuous-25140-both_sexes--irnt
Weighted-mean MO in tract inferior longitudinal fasciculus (right),25557,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.183713469876418,-0.0271206200476125,,,continuous-25557-both_sexes--irnt
I10 Essential (primary) hypertension,131286,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,69256,212329,0.184479585480955,-0.0198343328693565,,,icd_first_occurrence-131286-both_sexes--
Emphysema/chronic bronchitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3840,277703,0.184749949534439,0.0450540020710829,,,categorical-20002-both_sexes-1113-
Weighted-mean L2 in tract superior longitudinal fasciculus (left),25617,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.18538478536477,0.0410086217011008,,,continuous-25617-both_sexes--irnt
Other bowel surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1694,279849,0.186060738808608,0.0697877887368078,,,categorical-20004-both_sexes-1466-
Mean L2 in tapetum on FA skeleton (left),25295,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.186905357934547,0.0424355193632351,,,continuous-25295-both_sexes--irnt
Volume of caudate (left),25013,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,16038,,0.187460504242438,0.0400702068470114,,,continuous-25013-both_sexes--irnt
Mean OD in superior fronto-occipital fasciculus on FA skeleton (right),25434,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.187529587448565,0.0427267170512714,,,continuous-25434-both_sexes--irnt
G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1983,279603,0.187557956997044,0.0452780485008592,,,categorical-41210-both_sexes-G451-
Weighted-mean MO in tract anterior thalamic radiation (left),25544,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.187649388968427,-0.0426467204162101,,,continuous-25544-both_sexes--irnt
Z49.4 Skin of back,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4158,277428,0.187929569731429,0.0380710430458453,,,categorical-41210-both_sexes-Z494-
Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),25636,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.188773972234028,0.0242945707522078,,,continuous-25636-both_sexes--irnt
"Volume of grey matter in Supramarginal Gyrus, posterior division (right)",25821,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.189566545748446,-0.0408285308338851,,,continuous-25821-both_sexes--irnt
E09.1 Excision of lesion of external nose,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1781,279805,0.18994365750804,0.0695630665624261,,,categorical-41200-both_sexes-E091-
Apolipoprotein A,30630,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,244741,,0.189970554522574,-0.00741328731841334,,,continuous-30630-both_sexes--irnt
Mean L3 in posterior thalamic radiation on FA skeleton (left),25325,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.190247733270727,0.0349664076149751,,,continuous-25325-both_sexes--irnt
Nasal/sinus/nose surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,9577,271966,0.190265725735308,-0.0417768489190427,,,categorical-20004-both_sexes-1128-
Smoking status,20116,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,28570,251824,0.190331378702752,0.000224217975366168,,,categorical-20116-both_sexes-2-
Weighted-mean L1 in tract uncinate fasciculus (left),25594,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.190431750886731,0.0240474522076738,,,continuous-25594-both_sexes--irnt
Mean OD in posterior corona radiata on FA skeleton (right),25418,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.191256509257887,-0.0403706133217472,,,continuous-25418-both_sexes--irnt
W90.3 Injection of therapeutic substance into joint,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5080,276506,0.19231023754695,0.0337179370238172,,,categorical-41200-both_sexes-W903-
Vascular/heart problems diagnosed by doctor,6150,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,8690,272234,0.1934756422726,0.0233510258350063,,,categorical-6150-both_sexes-2-
Weighted-mean FA in tract acoustic radiation (left),25488,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.193843858840525,0.00299632317810893,,,continuous-25488-both_sexes--irnt
Mean MO in posterior corona radiata on FA skeleton (right),25178,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.194356244868734,0.0396674237876607,,,continuous-25178-both_sexes--irnt
Volume of grey matter in VIIIb Cerebellum (right),25914,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.194368229101189,0.0103062597110827,,,continuous-25914-both_sexes--irnt
Current tobacco smoking,1239,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,281266,,0.195211195551074,0.000563898302289674,,,continuous-1239-both_sexes--
Mean L2 in anterior limb of internal capsule on FA skeleton (right),25264,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.195265496259816,0.00534729798842559,,,continuous-25264-both_sexes--irnt
L72 Follicular cysts of skin and subcutaneous tissue,131794,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,8322,273263,0.195412681701023,0.0447484712990632,,,icd_first_occurrence-131794-both_sexes--
Mean L3 in pontine crossing tract on FA skeleton,25297,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.195549933994846,0.0197402781353404,,,continuous-25297-both_sexes--irnt
N39 Other disorders of urinary system,132070,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,25277,256308,0.195798211084362,0.0293573063345606,,,icd_first_occurrence-132070-both_sexes--
G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,33796,247790,0.196033962377891,0.0246073987413291,,,categorical-41200-both_sexes-G451-
Mean L2 in superior corona radiata on FA skeleton (right),25272,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.196381935564473,0.0407100856817155,,,continuous-25272-both_sexes--irnt
Protein,100003,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.196828744972786,-0.0186178367032399,,,continuous-100003-both_sexes--irnt
Mean ISOVF in tapetum on FA skeleton (left),25487,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.196943298107302,0.0412432816522769,,,continuous-25487-both_sexes--irnt
Leg fat percentage (left),23115,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276677,,0.197037726966551,-0.000139509498349684,,,continuous-23115-both_sexes--irnt
Mean ICVF in cingulum hippocampus on FA skeleton (left),25381,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.197309070741371,0.00556387386562316,,,continuous-25381-both_sexes--irnt
Waist circumference,48,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,281077,,0.197739563070678,0.00329615701982494,,,continuous-48-both_sexes--irnt
Arm fat mass (right),23120,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276634,,0.198544191584265,0.00207830617585247,,,continuous-23120-both_sexes--irnt
Volume of grey matter in Pallidum (left),25884,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.19894081262507,-0.00507577859662216,,,continuous-25884-both_sexes--irnt
Eye problems/disorders,6148,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight,,8936,91559,0.199022938818506,0.0238720753931709,,,categorical-6148-both_sexes-4-
Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),25554,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.199720260073675,-0.0326307934254495,,,continuous-25554-both_sexes--irnt
Weighted-mean MO in tract medial lemniscus (right),25560,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.200217728836302,-0.0338779399042087,,,continuous-25560-both_sexes--irnt
K57 Diverticular disease of intestine,131636,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,26827,254758,0.200297471649749,0.0131333236925342,,,icd_first_occurrence-131636-both_sexes--
Angina,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,8633,272910,0.200387013403493,0.0212541726561526,,,categorical-20002-both_sexes-1074-
Mean MO in corticospinal tract on FA skeleton (left),25159,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.200627969228393,0.0412807396428246,,,continuous-25159-both_sexes--irnt
Mean MD in superior corona radiata on FA skeleton (left),25129,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.20215593678681,0.0381332271032855,,,continuous-25129-both_sexes--irnt
Ever addicted to alcohol,20406,categorical,,Online follow-up > Mental health > Addictions,,2133,2961,0.202297207855655,,,,categorical-20406-both_sexes--
Weighted-mean FA in tract posterior thalamic radiation (right),25508,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.202507335777649,-0.0225209173470261,,,continuous-25508-both_sexes--irnt
Weighted-mean OD in tract acoustic radiation (left),25677,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.202666312314722,-0.0412564928080359,,,continuous-25677-both_sexes--irnt
Weighted-mean L1 in tract medial lemniscus (right),25587,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.202766508705264,0.00698751168835251,,,continuous-25587-both_sexes--irnt
Mean L3 in tapetum on FA skeleton (left),25343,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.202783897445659,0.039568552754693,,,continuous-25343-both_sexes--irnt
I35 Nonrheumatic aortic valve disorders,131324,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,2598,278987,0.203000271256453,0.0286240242312285,,,icd_first_occurrence-131324-both_sexes--
Z50.1 Skin of arm,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3297,278289,0.204018427964257,0.0630076440342243,,,categorical-41210-both_sexes-Z501-
Mean L1 in posterior limb of internal capsule on FA skeleton (left),25219,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.205572894190205,0.0405044288607034,,,continuous-25219-both_sexes--irnt
Weighted-mean L3 in tract corticospinal tract (right),25632,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.205940854515317,0.027095122266267,,,continuous-25632-both_sexes--irnt
90th percentile of BOLD effect (in group-defined mask) for faces activation,25763,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,14069,,0.207329179189226,,,,continuous-25763-both_sexes--irnt
Mean L2 in inferior cerebellar peduncle on FA skeleton (left),25259,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.207705507106951,0.0391580401557063,,,continuous-25259-both_sexes--irnt
Mean ISOVF in splenium of corpus callosum on FA skeleton,25444,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.209491638873463,0.0400452693916749,,,continuous-25444-both_sexes--irnt
Lymphocyte count,30120,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.209645928739354,0.00708149131121685,,,continuous-30120-both_sexes--irnt
Shortness of breath walking on level ground,4717,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Breathing,,10591,90266,0.210655559222461,0.0379115849582106,,,categorical-4717-both_sexes--
Mean FA in superior corona radiata on FA skeleton (right),25080,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.210864378510887,-0.0398833911447424,,,continuous-25080-both_sexes--irnt
Mean L1 in anterior corona radiata on FA skeleton (left),25223,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.211265976430127,0.02435488599406,,,continuous-25223-both_sexes--irnt
Mean MD in cingulum hippocampus on FA skeleton (left),25141,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.211362111684462,0.0313863935124161,,,continuous-25141-both_sexes--irnt
P duration,12338,continuous,,"UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead",,17339,,0.211429427238956,,,,continuous-12338-both_sexes--irnt
Mean MD in superior corona radiata on FA skeleton (right),25128,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.211980093499002,0.0376291120537855,,,continuous-25128-both_sexes--irnt
K21 Gastro-oesophageal reflux disease,131584,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,34603,246982,0.212569834987498,0.0151022281160903,,,icd_first_occurrence-131584-both_sexes--
Mean ICVF in anterior limb of internal capsule on FA skeleton (left),25361,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.213320877789201,-0.00370161649294759,,,continuous-25361-both_sexes--irnt
Volume of grey matter in Planum Polare (right),25869,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.21388727449995,0.03722239066163,,,continuous-25869-both_sexes--irnt
K58 Irritable bowel syndrome,131638,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,18586,262999,0.215072295995457,-0.00788399251972102,,,icd_first_occurrence-131638-both_sexes--
Volume of grey matter in Precentral Gyrus (right),25795,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.215183897227458,0.0151205790897823,,,continuous-25795-both_sexes--irnt
Weighted-mean ICVF in tract acoustic radiation (left),25650,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.216218598165391,-0.00881334175803943,,,continuous-25650-both_sexes--irnt
Mean OD in corticospinal tract on FA skeleton (right),25398,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.216226598807832,0.0389502614753049,,,continuous-25398-both_sexes--irnt
Mean MO in superior fronto-occipital fasciculus on FA skeleton (left),25195,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.217787033068635,-0.00623890631078386,,,continuous-25195-both_sexes--irnt
Weighted-mean MO in tract parahippocampal part of cingulum (left),25548,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.217822217553165,0.02432984985424,,,continuous-25548-both_sexes--irnt
Weighted-mean ICVF in tract corticospinal tract (right),25659,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.218574662784266,0.00335055750449032,,,continuous-25659-both_sexes--irnt
Trunk fat percentage,23127,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276550,,0.219539228257384,0.0014951973928905,,,continuous-23127-both_sexes--irnt
Mean ICVF in cerebral peduncle on FA skeleton (left),25359,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.220055114655116,0.0394361620255801,,,continuous-25359-both_sexes--irnt
Mean L1 in retrolenticular part of internal capsule on FA skeleton (left),25221,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.220220713707208,0.0394660035422931,,,continuous-25221-both_sexes--irnt
M65.3 Endoscopic resection of prostate NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1654,126584,0.220334466536902,0.0445889476881623,,,categorical-41200-both_sexes-M653-
Mean L1 in tapetum on FA skeleton (left),25247,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.22045809693727,0.0387797677337928,,,continuous-25247-both_sexes--irnt
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones",6153,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,11352,141259,0.220681985295182,0.006312295242903,,,categorical-6153-both_sexes-4-
